George A. Romero's Land of the Dead	活屍禁區
MirrorMask	仙鏡奇緣
The Secret Life of Bees	蜂蜜罐上的聖瑪利
Nurse 3D	3D血護士
Mr. Magorium's Wonder Emporium	魔法玩具城
Journey 3-D	3D地心冒險
The Other Side of Hope	希望在世界另一端
Peanuts	史努比
Miracle at St. Anna	聖安娜奇蹟
The Fog	鬼霧
The Perfect Man	尋找阿娜答
Julie & Julia	美味關係
The Disaster Artist	大災難家
Lords of Dogtown	衝破顛峰
Frankenweenie	科學怪犬
The Producers	金牌製作人
The Adventurers	俠盜聯盟
Dolphin Tale	重返海豚灣
Ceremony	劫婚典禮
Primeval	萬鱷巨獸
Joshua	魔鬼約書亞
The Zero Theorem	明日定律
The Spy Next Door	鄰家特務
Seeking Justice	私法正義
The Secret Life of Walter Mitty	白日夢冒險王
Millions	百萬小富翁
Memories of Tomorrow	明日的記憶
The Painted Veil	猜心
Fruitvale Station	奧斯卡的一天
Self/less	換命法則
Goal! The Dream Begins	疾風禁區
Dheepan	流離者之歌
Big Eyes	大眼睛
Prince of Persia: The Sands of Time	波斯王子
Marley & Me	馬利與我
The Divergent Series: Allegiant	赤誠者
Run the Tide	逐浪而生
The Game of Their Lives	贏向一生的挑戰
Stephen King's The Mist	迷霧驚魂
Frost/Nixon	請問總統先生
Monsters vs. Aliens	怪獸大戰外星人
A Long Way Down	往下跳
Puncture	針情法網
Jack Reacher 2	神隱任務2
Diminished Capacity	往事隨風
Five Minutes of Heaven	天堂五分鐘
Paper Towns	紙上城市
The Last Five Years	最後那五年
Smile	笑逐顏開
Scream 4	驚聲尖叫4
The Illusionist	魔術師
The Killer Inside Me	魔由心生
The Zookeeper's Wife	園長夫人:動物園的奇蹟
Everything Must Go	一無所有
Something in the air	五月風暴
Foxcatcher	狐狸捕手
Fast Five	玩命關頭5
A Sound of Thunder	雷霆萬鈞
What Maisie Knew	梅西的世界
The Women	女人至上
The Twilight Saga: Breaking Dawn - Part 2	暮光之城4:破曉Ⅱ
Oliver Twist	孤雛淚
Red 2	超危險特工2
The Girl on the Train	列車上的女孩
I Love You, Beth Cooper	我愛你
Alex Cross	絕命追緝令
愛在愛情空窗期	愛在愛情空窗期
Happy-Go-Lucky	樂觀以對
Soul Men	靈魂樂手
The Road	往生路
Jack the Giant Killer	傑克巨人戰記
Don't Tell	誘禍
Coco Chanel & Igor Stravinsky	香奈兒的秘密
Collide	偷天劫車手
Ask the Dust	心塵情緣
Renegades	潛龍突擊隊
The Flowers of War	金陵十三釵
No Strings Attached	飯飯之交
Stolen	盜數計時
Time	謊顏
Saw V	奪魂鋸5
Good Kill	狙擊手
Holding Trevor	誰來愛我
Declaration of War	親愛的別哭
Percy Jackson: Sea of Monsters	波西傑克森2
That Awkward Moment	我們算正式交往嗎？
The Best Offer	寂寞拍賣師
Fast Food Nation	速食國度
Music Within	樂自心中來
Chocolate	致命巧克力
Pirates of the Caribbean: Dead Man's Chest	神鬼奇航2
RV	休旅任務
Thanks for Sharing	謝謝分享,我的愛
Off the Black	賠我走這一程
Thumbsucker	吮指
Star Wars: Episode VIII: Space Bear	星際大戰8
Ip Man 3	葉問3
Beauty and the Beast	美女與野獸
Camp X-Ray	關塔那摩X光營
Eastern Promises	巨塔殺機
Milk	自由大道
Concussion	震盪
Linsanity	林來瘋
Insidious Chapter 2	陰兒房2
Mad Hot Ballroom	快樂舞年級
Tales from Earthsea	地海戰記
Madagascar 3: Europe's Most Wanted	馬達加斯加3
Angels & Demons	天使與魔鬼
American Honey	2016美國甜心
Carrie	魔女嘉莉
Passengers	靈異航班
