Despicable Me 2	神偷奶爸2
Haunts	亡魂出沒
Mr. Six	老炮兒
Sisterhood	骨妹
Happy together-all about my dog	狗狗當家
The Railway Man	心靈勇者
Lei Feng Man	熱血雷鋒俠之激情營救
RailWay	鐵支路
Julieta	沉默茱麗葉
The Private Lives of Pippa Lee	她的私密日記
A Perfect Getaway	蜜月變奏曲
Young Detective Dee: Rise of the Sea Dragon	狄仁傑之神都龍王
Young Blood	青春搏擊
Goya's Ghosts	哥雅畫作下的女孩
Friend Request	非死不可
O.T. phi Overtime	加班遇到鬼
Little Fockers	門當父不對之我才是老大
Case Sensitive	敏感事件
A Motor Home Adventure	房車奇遇
Hot Pursuit	辣味雙拼
ノルウェイの森	挪威的森林
Black & White Episode 1: The Dawn of Assault	痞子英雄首部曲
Family Rules	家有家規
Flash Play	致命閃玩
The Air I Breathe	交錯效應
Operation Mekong	湄公河行動
East Wind Rain	東風雨
In a Better World	更好的世界
The Mortal Instruments: City of Bones	天使聖物：骸骨之城
The Edge of Heaven	天堂邊緣
Up In The Wind	等風來
Public Friends	玩命光頭
Xiang Xiao Qiang Yi Yang Huo Zhe	像小強一樣活著
Robin Hood	羅賓漢
Harry Potter and the Deathly Hallows Part 2	哈利波特—死神的聖物II
Sara	雛妓
Chinese Look	正骨
Revenge, A Love Story	復仇者之死
Romance Out Of The Blue	浪漫天降
Eternal Love	201413愛你一世一生
The Adjustment Bureau	命運規劃局
Percy Jackson: Sea of Monsters	波西傑克森：妖魔之海
Taichi 0	太極
The Captive	雪地迷蹤
Please Open Your Window	請把你的窗戶打開
SuckSeed	音為愛
Talaash	大搜索
Fierce midnight dream	午夜凶夢
Madea's Witness Protection	黑瘋婆的證人保護計劃
The Next Three Days	關鍵救援72小時
Kingfisher	魚狗
Home	好家在一起
The Incredible Hulk	無敵浩克
Broken City	驚爆危城
Terminator: Genesis	魔鬼終結者5
劇場版 FAIRY TAIL -DRAGON CRY	魔導少年:龍之淚
Honey PuPu	消失打看
Parada	彩虹保衛隊
Happy Few	你快樂所以我快樂
Book Of Love	北京遇上西雅圖之不二情書
Clara	琴戀克拉拉
The Descent: Part 2	深入絕地2
She Zhou	蛇咒
The Sun Also Rises	太陽照常升起
The Doll	詭娃娃
Unexpected Love	誰說我們不會愛
あたしンち　情熱のちょ∼超能力♪母 大暴走	超能力花媽
Guardians of the Galaxy	星際異攻隊
When a Peking Family Meets Aupair	洋妞到我家
Captain Fantastic	神奇大隊長
Ice kacang puppy love	初戀紅豆冰
The White Ribbon	白色緞帶
Ming Tian Shi Fou Lai Lin	明天是否來臨
Perfect Wedding	抱抱俏佳人
Legend of the Guardians	貓頭鷹守護神
Tik Tok	驚天大逆轉
Heart for Heaven	一念天堂
Lan	我們天上見
Bang Jia Da Ming Xing	綁架大明星
Legend of the Guardians: The Owls of Ga'Hoole	貓頭鷹守護神
Couples Retreat	伴侶渡假村
Scream 4	驚聲尖叫4
Lian Huan Kou	連環扣
The Man From Macau	澳門風雲
The Butler	白宮第一管家
The Day the Earth Stood Still	當地球停止轉動
Cloudy With a Chance of Meatballs 2	食破天驚2
Unstoppable	煞不住
Walking on Sunshine	舞力假期
A Beautiful Star	美麗之星
I Hate Valentine's Day	我恨情人節
Largo Winch	神鬼獵殺
Phoenix	回不去的時光
Captain America: The Winter Soldier	美國隊長2：酷寒戰士
Mother's Day	母親劫
Kwai Boo	桂寶大電影之爆笑闖宇宙
December Boys	十二月的男孩
Naked Human Nature	赤裸人性
The Game	致命怪談
Old Dogs	歐吉桑卡好
Runner Runner	逆轉王牌
Just Go With It	愛情大臨演
Good Luck! Boy	加油！男孩
Gnomeo & Juliet	糯米歐與茱麗葉
The Family Running Forward	一家老小向前沖
Brothers	鋼刀
Last Testimony	最後證言
The Incredible Truth	瘟泉
Roommates in Love	異性合租的往事
Mr. Right	真愛有夠殺
You Again	冤家囍相逢
Chinese Puzzle	紐約愛情拼圖
Merry-Go-Round	東風破
The Cabin in the Woods	詭屋
Horrible Bosses	老闆不是人
The Internship	實習大叔
Baggage Claim	行李帶
Moms' Night Out	老媽之夜
Crouching Tiger, Hidden Dragon: Sword of Destiny	臥虎藏龍：青冥寶劍
Love in the 1980s	1980年代的愛情
Survivor	倒數行動
The Magic of Children&#160;: Magic Attack	小魔仙之黑魔法來襲
Sin City: A Dame to Kill For	萬惡城市：紅顏奪命
Juliets	茱麗葉
American Reunion	美國派4：美國重逢
Kepong Gangster	甲洞
Magic Barber	愛情魔發師
Lost Minds	失心者
Perfect Two	新天生一對
Mortal Engines	移動城市:致命引擎
The Second Woman	情謎
Iceman	急凍行者（上卷）
The Last Face	戰地情
Heaven Is for Real	真的有天堂
Never Said Goodbye	謊言西西里
The Death War	絕戰
City of Ember	微光城市－黑暗之光首部曲
Love You For Loving Me	我愛的是你愛我
Ocean Flame	一半海水,一半火焰
Three Weddings	爸爸的3次婚禮
The Lost City of Z	失落之城
Hansel And Gretel: Witch Hunters	女巫獵人
Cities In Love	戀愛中的城市
Nymphomaniac	性愛成癮的女人
The moment you fall in love	喜歡上你的那瞬間
One Tree Three Lives	三生三世聶華苓
Father(Abba)	阿爸 (電影)
Stratton	金牌特勤
Black Rock	黑色搖滾
Dracula Untold	德古拉:永咒傳奇
Cool Ma	酷馬
Inside Out	腦筋急轉彎
Non-Stop	空中救援
UMRIKA	歡迎來到美國
Just Call Me Nobody	大笑江湖
House of Lies	謊言對決
One Night	練膽兒
Lokah Laqi！	只要我長大
Insidious Chapter 2	陰兒房2
Gulf Stream Under the Iceberg	性愛慾3世紀
Golden Brothers	男人唔可以窮
Plastic Surgeon·Hunted Face	整形師·臉
Le Week-End	愛在巴黎破曉時
The Warrior and the Wolf	狼災記
Two Idiots	傻瓜向錢衝
Brain on Fire	我發瘋的那段日子
The Menu	導火新聞線
Tower Heist	神偷軍團
Goosebumps	怪物遊戲
Alaska	愛,囚禁
You Deserve To Be Single	活該你單身
21 Jump Street 2	龍虎少年隊2
Saw V	奪魂鋸5
Jin Tian Ming Tian	今天·明天
North by Northeast	東北偏北
The Awakening	靈動檔案
Mountain Ava	森林孤影
Four	鬼4厲
If I Were You	變身男女
Minions	小小兵
Joy	翻轉幸福
You Won’t Get to Live Twice	三個大丈夫
The mask of love	魅妝
One Nation, Two Cities	一國雙城
Love &amp; Mercy	搖滾愛重生
Blackhat	黑帽駭客
NARA：奈良美智との旅の記録	跟著奈良美智去旅行
Julie & Julia	美味關係
Blue Valentine	藍色情人節
The Story of A Piano	琴動我心
One Minute More	我的男友和狗
Dorian Gray	美少年格雷的畫像
When the Game Stands Tall	攻無不克
The Walk	走鋼索的人
Fighting Youth	我是奮青
I Love Wing Chun	笑詠春
A Chinese Ghost Story	倩女幽魂
Strangrland	陌生之地
Cha Cha for Twins	寶米恰恰
Outsourced	世界是平的
火垂るの墓	螢火蟲之墓
The House Bunny	女郎我最兔
Muppets Most Wanted	布偶歷險記：全面追緝
People Like Us	平凡人生
The Maze Runner	移動迷宮
The Happy Life of Debbie	內人／外人－黛比的幸福生活
Two Days, One Night	兩天一夜
Baby Run	寶貝快跑
Spy Time	特務超級爸
Black Panther	黑豹
The Experiment	叛獄風雲
Free Ride	順風車
Bee Movie	蜂電影
Detectivecconan：Sunflowes Of Inferno	名偵探柯南19
Ju-on: The Beginning of the End	咒怨:終結的開始
The Truth About Beauty	整容日記
Skyfall	007：空降危機
The Brand New Testament	死期大公開
Alien: Covenant	異形:聖約
Epitaph	冥婚淒談
Marvel Stories	漫威:超級英雄王國
分手說愛你	分手說愛你
Yes Man	沒問題先生
China Heavyweight	千錘百鍊
Strange Magic	仲夏夜魔法
West Groovy	哥的傳說
Now You See Me	出神入化
Season of Good Rain	好雨時節
The Invincible Piglet	無敵小飛豬
When Yesterday Comes	昨日的記憶
Just For Fun	就是鬧著玩的
Rock'n Roll	搖滾救明星
Gu Gu the Cat	咕咕貓
Monkey Kingdom	猴王國
Dendrobium	石斛蘭
Late Autumn	晚秋
The Weird Bride	詭新娘
The love Clinic	愛情維修站
Escape Plan	鋼鐵墳墓
Tomorrow's Joe	火力拳開
Madea's Big Happy Family	黑瘋婆子的快樂大家庭
Children From The Distant Planet	遙遠星球的孩子
Connected	保持通話
The Warring States	戰國
The Big Power	大顯神威
余命１ヶ月の花嫁	生命最後一個月的花嫁
From a House on Willow Street	綁的不是人
Natural Born Lover	這個男人有點色
The Disappointments Room	鬼開門
Paranormal Activity 2	鬼入鏡
KungFu Fighter	功夫戰鬥機
The Warth Of Vajra	金剛王：死亡救贖
Pacific Rim: Uprising	環太平洋2
This Is the End	大明星世界末日
Yang Xiong Yu Shi Xiu	楊雄與石秀
The KungFu Master	八卦宗師
Silk Road Hero: Khan's Arrow	絲路英雄·雲鏑
Atonement	贖罪
Saving Mr. Banks	大夢想家
We Bought a Zoo	我們買了動物園
Miles Ahead	瘋狂邁爾士
Da Cun Gu	大村姑
Kokowääh 2	紅酒燉香雞2
Love in the Office	一路向前
Margin Call	黑心交易員的告白
The Lazarus Effect	永夜魔女
Bachelorette	伴娘Hold不住
Yves Saint Laurent	時尚大師聖羅蘭
Attraction	異星引力
The Mirror	魔鏡
BiXian Panic	筆仙驚魂
The Sense of an Ending	回憶的餘燼
Solomon Kane	所羅門傳奇
Hero of the River	劍河
Dynamite Warrior	功夫拳霸
Doomsday	決戰末世代
Last Summer	我死在去年夏天
Summer Rain	夏季雨
Crazy on the Outside	出獄一團糟
The Triangle Land	三角地
Zinnia Flower	百日告別
Overdrive	盜速飛車
Obvious Child	只是個孩子
Rock the Kasbah	沙漠飆高音
The Strangers	陌路狂殺
Forever Young	怒放之青春再見
Da Han Tao Hua Kai	大寒桃花開
My New Sassy Girl	我的新野蠻女友
Take me home	鬼打牆
The Twilight Saga: Breaking Dawn - Part 1	破曉I
Paranormal Activity: Tokyo Night	靈動2:東京實錄
Lan Kwai Fong II	喜愛夜蒲2
Taste of Life	百味人生
The Trump Card	誰是臥底之王牌
Inside Job	幕後黑手
The Monuments Men	大尋寶家
Gone with the Bullets	一步之遙
Snow White and the Huntsman	公主與狩獵者
My back page	革命青春
The Orphanage	靈異孤兒院
Mystery	浮城謎事
Night Train to Lisbon	里斯本夜車
Louder Than Bombs	記憶乍響
Ice Age: Dawn of the Dinosaurs	冰原歷險記3
The Survival Family	生存家族
Out in the Dark	愛,悄悄越界
Mr. Donkey	驢得水
Good People	鎖命橫財
Flirting Scholar 2	唐伯虎點秋香2之四大才子
3AM	鬼三驚
A Horse with Hope	山那邊有匹馬
The Kidnap	綁架冰激凌
The Words	千言萬語
The Last Woman Standing	剩者為王
Final Destination 5	絕命終結站5
Seven Arhat	七小羅漢
Paranormal Activity: The Ghost Dimension	鬼入鏡5
Wind River	極地追擊
American Assassin	美國刺客
A Pierrot	重力小丑
The Little Death	愛愛小確性
The Adventurers	俠盜聯盟
The Immigrant	浮世傷痕
Rock On	實習大明星
My Friends	我的「狐朋狗友」
Letters to Father Jacob	給雅各神父的信
Beloved Sisters	二姊妹的情人
When We Were Young	不朽的時光
Xiao Che	校車 (電影)
The Conspirator	刺客共犯
I Love HongKong	我愛HK開心萬歲
The Thieves	神偷大劫案
Zero Days	零日網路戰
Guo Ming Yi	郭明義
Chimpanzee	黑猩猩
