Railroad Tigers	鐵道飛虎
The Writing's On The Wall	有跡可循
Lost Minds	失心者
My Super Girl	我的女神女漢子
Provoking Laughter	冒牌臥底
Some Like It Hot	情聖
Three Weddings	爸爸的3次婚禮
Cherry Returns	那年夏天你去了哪裡
Unforgettable Golden Beach	難忘金銀灘
The Insanity	你好，瘋子！
She's From Another Planet	人魚校花
Super Kindergarten	超級幼兒園
The Ghouls	尋龍訣
The Gigolo 2	鴨王2
Goodbye Mr. Loser	夏洛特煩惱
Love in the Late Autumn	愛在深秋
Mr. Six	老炮兒
Les Aventures D'Anthony	陪安東尼度過漫長歲月
The Last Woman Standing	剩者為王
GATAO	角頭
The Mermaid	美人魚
PG Love	PG戀愛指引
Bully	施壓者
i Girl	iGirl 夢情人
The Tag-Along	紅衣小女孩
Heaven In The Dark	暗色天堂
Wawa No Cidal	太陽的孩子
The Mobfathers	選老頂
Trivisa	樹大招風
Robbery	老笠
In The Room	無限春光27
The Kid From The Big Apple	我來自紐約
My Wife Is A Superstar	我老婆係明星
Good Take Too	打開我天空
The Taste of Youth	少年滋味
Kidnap Ding Ding Don	綁架丁丁當
Detective Chinatown	唐人街探案
Cold War 2	寒戰
Wansei Back Home	灣生回家
League Of Gods	封神傳奇
The Menu	導火新聞線
The Tenants Downstairs	樓下的房客
Call of Heros	危城
Weeds on Fire	點五步
FIooing Around Jiang Hu	江湖悲劇
Case II	魕異
At Café 6	六弄咖啡館
Monkey King: Hero is Back	西遊記之大聖歸來
The Moment	我們的那時此刻
A Chinese Odyssey: Part Three	大話西遊3
No where to hide	男極探射燈
Prince	哥基王子
Utopians	同流合烏
the True Love	不愛不散
ZAPP	蘋行世界之程
The Posterist	海報師：阮大勇的插畫藝術
Show me your love	大手牽小手
Drink Drank Drunk	3條友飲醉走
Sky on Fire	沖天火
The Road to Mandalay	再見瓦城
Final Project	玩謝大師
L for Love, L for Lies Too	失戀日
The Map of DNA	他媽²的藏寶圖
A Tale of Three Cities	三城記
Like Life	人生按個讚
David Loman 2	大尾鱸鰻2
Rookie Chef	神廚
Hong Kong Trilogy	香港三部曲
3688	想入飛飛
Love in Vain	獨一無二
Brotherhood of Blades	繡春刀
Welcome To The Happy Days	五星級魚乾女
Lokah Laqi！	只要我長大
Mole of Life	黑白
See You Again	奇幻同學會
White Lies, Black Lies	失控謊言
Monster Hunt	捉妖記
Anniversary	紀念日
8000 Miles from Hip Hop	屌人
Long Long Time Ago 1	我們的故事1
Long Long Time Ago 2	我們的故事2
The Master	師父
The M Riders Finding Pangu	萌學園：尋找磐古
The 17th Journey of Compassion	乘願再來九百年
Go！Crazy Gangster	風雲高手
The Chinese Mayor	大同
Happy Dorm	極樂宿舍
Go Angels Go! Taiwan Bike Holiday	天使去哪兒-台灣單車假期
Ten Years	十年
The Big Power	大顯神威
Yes, Sir!7	報告班長7 無路可退
Ace of Sales	銷售奇姬
My Egg Boy	我的蛋男情人
Battle Of Hip Hopera	終極舞班
After Spring, the Tamaki Family	海的彼端
S Storm	S風暴
Short story at the West Gate	我的西門小故事
Ode to Time	四十年
From Now On	此後
Foret Debussy	德布西森林
Black Sheep	兒子老子
An Odyssey of Dreams	童夢—旅美畫家呂游銘的逐夢旅程
Fight For Justice	進擊之路
Cycling Angels	單車天使
HEBEI TAIPEI	河北臺北
Godspeed	一路順風
Packages from Daddy	心靈時鐘
BETELNUT GIRLS	櫥窗人生
Absent without Leave	不即不離
Life Risking Romance	危險羅曼史
The Flush of Dawn	行者三太子─迎向曙光
Black Bear Forest	黑熊森林
10,000 MILES	一萬公里的約定
The House That Never Dies	京城81號
Goosebumps	怪物遊戲
The Revenant	神鬼獵人
Suffragette	女權之聲：無懼年代
Brooklyn	愛在他鄉
Anomalisa	安諾瑪麗莎
The Wave	驚天巨浪
Dirty Grandpa	阿公歐買尬
The End of the Tour	寂寞公路
Daddy's Home	家有兩個爸
The Dressmaker	惡女訂製服
Extraction	終極救援
Jeruzalem	聖獄:耶路撒冷
We Are Family	我們全家不太熟
45 Years	45年
Son of Saul	索爾之子
Galaxy Turnpike	銀河街道
Midnight Sun	極地奇蹟
The Good Dinosaur	恐龍當家
The Hateful Eight	八惡人
Concussion	震盪效應
Pride and Prejudice and Zombies	傲慢與偏見與殭屍
How to Be Single	單身啪啪啪
Spotlight	驚爆焦點
The Danish Girl	丹麥女孩
Freeheld	扣押幸福
Zoolander 2	名模大間諜2
David Loman2	大尾鱸鰻2
Nina Forever	非普通屍戀
Zootopia	動物方城市
Trumbo	好萊塢的黑名單
The Other Side of the Door	鬼門開
Youth	年輕氣盛
Room	不存在的房間
Marry Me!	假掰新郎
The Boy	託陰
Colonia	窒命地
Mustang	少女離家記
Patema Inverted	帕蒂瑪的顛倒世界
The Lobster	單身動物園
Welcome to Happy Days	五星級魚干女
Macbeth	馬克白
Senior	聞鬼師
The Young Messiah	少年彌賽亞
Life	我們走過叛逆年代
Labyrinth Of Lies	謊言迷宮
Liza, the Fox-Fairy	狐仙麗莎煞煞煞
A Bride for Rip Van Winkle	被遺忘的新娘
Mole Of Life	黑白
