哈啦十誡	The Ten
獵男有轉機	The Layover 
在地圖結束的地方	Timbuktu
陰兒房3	Insidious Chapter 3
狩獵者:凜冬之戰	The Huntsman Winter’s War
資本遊戲	Capital
太陽馬戲團	Cirque du Soleil: Worlds Away 3D
野獸婆婆	Monster-in-Law
燃燒鬥魂	The Fighter
青春倒退嚕	While We're Young
拒絕再戰	Stop-Loss
哈利波特6	Harry Potter and the Order of the Phoenix
後街天使	Or 
3D怒火狂飆	Drive Angry 3D
決戰異世界5	Underworld: Blood Wars
Lady's尖頭們	Free the Nipple 
別來敲門	Don't Come Knocking 
拳霸	Ong-Bak: The Thai Warrior 
阿宅的二三事	Jeff, Who Lives at Home
叢林法則	Joe
雙子陰謀	Leaves of Grass
惡靈空間	Boogeyman
黛安娜	Diana
舊情人	The Ex
茉莉人生	Persepolis
神鬼剋星	The Brothers Grimm
3D驚天洞地	Sanctum
羅賓漢	Robin Hood
活蟲生吃	How to Eat Fried Worms
愛上草食男	Greenberg
夾心蛋糕	Layer Cake 
魔境夢遊2	Alice Through the Looking Glass 
情場大玩咖	Playing for Keeps
好景不常	All Good Things
賴家王老五	Failure to Launch
春麗傳奇	Street Fighter: The Legend of Chun-Li
檔案	The Quiet Ones 
婚禮大聯矇	The Big Wedding
毛的最後舞者	Mao's Last Dancer
十年	10 Years 
索爾之子	Son of Saul
吸血鬼獵人	Abraham Lincoln: Vampire Hunter
安諾瑪麗莎	Anomalisa
意外	Three Billboards Outside Ebbing, Missouri
不可能的任務5	Mission: Impossible 5
12怒漢:大審叛	12
捍衛真相	Nothing But the Truth
入侵者	Intruders
花邊藥頭	Twelve
搖滾學校	Rock School 
百萬種硬的方式	A Million Ways to Die in the West
不思議女人	A Fantastic Woman
瘋狂之心	Crazy Heart
不再讓你孤單	A Beautiful Life
結婚糾察隊	License to Wed
奇幻世界	Tideland
比利林恩	Billy Lynn’s Long Halftime walk
說來有點可笑	It's Kind of a Funny Story
