哈啦十誡	The Ten
死侍	Deadpool
嗑到荼蘼	Enter the Void
羅密歐與茱麗葉	Romeo and Juliet 
智慧戰爭	Flash of Genius
絨毛團	Plush
無處可逃	No Escape 
大愛晚成	Laggies
瑪格麗特	Margaret
有完沒完	Are We Done Yet?
哈比人3	The Hobbit: The Battle of the Five Armies
冬至	Winter Solstice
烽火孿生淚	Twin Sisters 
靈魂衝浪	Soul Surfer
湄公河行動	Operation Mekong
狂愛姊妹花	Beloved Sisters
藍色小精靈2	The Smurfs 2
牠	It
姚明來了	The Year of the Yao 
豬頭漢堡飽2	Harold and Kumar Escape From Guantanamo
進退兩難	The Dilemma
巨震過後	Aftershock
愛倫坡懸案	The Raven
惡靈古堡5	Resident Evil: Retribution
神奇大隊長	Captain Fantastic 
MIB星際戰警3	Men in Black III
急凍邊境	Frozen River
聖誕好家在	Love the Coopers
神仙家庭	Bewitched
咖啡愛情	Café Society 
公主與青蛙	The Princess and the Frog
神鬼奇航5	Pirates of the Caribbean: Dead Men Tell No Tales
鍋蓋頭	Jarhead
戀戀酒鄉	Bottle Shock
不再克制	Control
消失在第七大街	Vanishing on 7th Street
魔鬼終結者5	Terminator: Genesis 
山河故人	Mountains May Depart
馴龍高手2	How to Train Your Dragon 2
頭號冤家	One for the Money
阿泥正傳	Mud
紐約愛未眠	Before We Go 
哈利波特7.2	Harry Potter and the Deathly Hallows - Part 2
王牌推銷員	The Goods: Live Hard. Sell Hard.
時光逆侶	Youth Without Youth
透納先生	Mr. Turner
夜三十	30 Days of Night
婚約裂痕	Separate Lies
復仇者聯盟3	Avengers: Infinity War 
拉合爾茶館的陌生人	The Reluctant Fundamentalist 
毛毛狗	Doogal
無厘取鬧:阿公壞壞	Bad Grandpa 
我一直深愛著你	I've Loved You So Long
基努賤隊	Keanu
亞果出任務	Argo
活埋	Buried
撒旦的情與慾	Antichrist
我們撞到外星人	Paul
怒海劫	Captain Phillips
百貨戰警	Paul Blart: Mall Cop
莎拉波莉家庭詩篇	Stories We Tell 
荷頓奇遇記	Dr. Seuss' Horton Hears a Who
貓頭鷹守護神	Legend of the Guardians
吹夢巨人	The BFG
疾速救援	The Commuter
彼得與溫蒂之戀	Peter and Vandy
愛,從心開始	Last Chance Harvey
被出賣的台灣	Formosa Betrayed
第一夫人的秘密	Jackie
暗擁	Undertow
末日迷蹤	Left Behind
我不是潘金蓮	I Am Not Madame Bovary
選戰風雲	The Ides of March
鳥人	Birdman
限制級戰警3	xXx: The Return of Xander Cage 
陌路狂殺	The Strangers
咎愛	The Past
最後大法師	The Last Exorcism
顛父人生	Toni Erdmann 
美男子	Bel Ami
蝙蝠俠:開戰時刻	Batman Begins 
1世代	One Direction: This Is Us
給茱麗葉的信	Letters to Juliet
剎靈	The Ring Two
失蹤人口	Gone Baby Gone
安娜貝爾2	Annabelle 2
第四公民	Citizenfour
我只是個計程車司機	A Taxi Driver
賽德克巴萊	Seediq Bale
黃金時代	The Golden Era
媽媽咪呀2	Mamma Mia! Here We Go Again 
V怪客	V For Vendetta
詭影訪客	Alien Abduction 
鐵道飛虎	Railroad Tigers
錄到鬼4	[REC] 4: Apocalipsis
蜜月變奏曲	A Perfect Getaway
極速秒殺2	Mechanic: Resurrection
黑塔	The Dark Tower
撕裂人	Slither
老闆不是人2	Horrible Bosses 2 
破綻	Fracture
美國隊長	Captain America: The First Avenger
還有機會說再見	Before I Fall 
精選完美男	The Switch
傻愛成金	Fool's Gold
親愛的小孩	The Boys Are Back
打不倒的勇者	Invictus
冰原歷險記4	Ice Age: Continental Drift
鬼迷心竅	Obsessed
決戰異世界4	Underworld 4
玩命關頭7	Fast & Furious 7 
與陌生女子調情	Conversations with Other Women
客製化女神	Ruby Sparks
愛愛小確性	The Little Death 
地獄新娘	Tim Burton's Corpse Bride
舞力重擊	High Strung 
鬼不理的助手	Cirque Du Freak: The Vampire's Assistant
酷寶:魔弦傳說	Kubo and the Two Strings
月球暗面	In the Shadow of the Moon
關鍵救援:巴士657	Bus 657
外慾殺機	The Other Man 
39特案	Case 39
超人再	Superman Returns 
魔鬼契約	Heartless
凶兆2:雙瘋	Sinister 2
3D龍門飛甲	The Flying Swords of Dragon Gate
摩納哥王妃	Grace of Monaco
全面突襲2	The Raid 2: Berandal 
銀幕大角頭2	Anchorman 2: The Legend Continues
裝璜東西軍	Deck the Halls
愛在波蘭戰火時	Katyn
燦爛時光	The Best of Youth
跨界失控	Welcome To Yesterday 
終極警探5	A Good Day to Die Hard
月球漫遊	Moon
英雄教育	Before the Fall
沉默之丘	Silent Hill
資本主義	Capitalism: A Love Story
非禮勿弒	The Gift 
魔法褓母麥克菲	Nanny McPhee
自由鳥	Free Birds 
垂死的高盧人	The Dying Gaul
幽靈終結者	The Hitcher
色慾修道院	The Little Hours
波特小姐	Miss Potter
雨果的冒險	Hugo
生死一擊	Killshot
愛無止期	Time to Leave
地平線	Deepwater Horizon
為妳唱的歌	Song to Song
冰刀雙人組	Blades of Glory
逃離邊境	The Homesman 
最好的時光	Three Times
梵諦岡影帶	The Vatican Tapes 
舞法舞天2	Step Up 2 the Streets
吸血鬼就在隔壁3D	Fright Night
鯨奇之旅	Big Miracle
未來的未來	This Is It 
久美子的奇異旅程	Kumiko, the Treasure Hunter
馬達加斯加爆走企鵝	The Penguins of Madagascar 
愛在他鄉	Brooklyn
世界唯一的你	My One and Only
12猛漢	12 Strong
她的私密日記	The Private Lives of Pippa Lee
無畏之心	A Mighty Heart
性本愛	Love
鬼門開	The Other Side of the Door
靈動檔案	The Awakening
請問布希大人	W.
奪魂鋸6	Saw VI
格雷的五十道陰影	Fifty Shades of Grey 
強納斯兄弟演唱會	Jonas Brothers:The 3D Concert Experience
鏽與骨	Rust & Bone
愛情逃兵	Love and Honor
刀劍神域劇場版－序列爭戰	Sword Art Online the Movie: Ordinal Scale
魔鬼知道你死前	Before the Devil Knows You're Dead
深入絕地	The Descent
驗屍官	The Autopsy of Jane Doe 
世界屬於我們	Were the World Mine 
爆裂警官	The Bad Lieutenant: Port of Call New Orleans
飢餓遊戲	The Hunger Games
下女	The Housemaid
非婚生子	Friends with Kids 
七龍珠	Dragonball
機關槍傳教士	Machine Gun Preacher
濃情威尼斯	Casanova
避風港	Shelter
神隱任務	Jack Reacher
走私人口	Trade
兩天一夜	Two Days, One Night
進擊的鼓手	Whiplash
叛國者	Traitor
長城	The Great Wall 
玩命關頭8	Furious 8
怪獸卡車	Monster Trucks 
惡煞臨門	No Good Deed 
購物狂的異想世界	Confessions of a Shopaholic
摯愛無盡	A Single Man
末日情緣	Perfect Sense 
真愛旅程	Revolutionary Road
海神號	Poseidon
國王人馬	All The King's Men
摩天樓	High-Rise 
正義聯盟	Justice League
空屋情人	3-Iron 
絕命終結站4	Final Destination: Death Trip 3D
分歧者	Divergent
玩命關頭4	Fast and Furious
奪魂鋸3	Saw III
限時翻供	Snitch
無極	The Promise
驚爆萬惡城	Edge of Darkness 
情遇巴塞隆納	Vicky Cristina Barcelona
戀愛救火隊	Heartbreaker
謀殺球	Murderball
狼嚎再起	The Wolfman
烈火擎天	Burning Blue 
性謀殺天使城	The Informers
罪惡之城娥摩拉	Gomorra
時光叛逃者	Time Renegades
永生書	The Book of Eli
年少時代	Boyhood
華爾街2	Wall Street: Money Never Sleeps
妖物	SiREN
情慾三重奏	Third Person 
金色大門	Golden Door
阿姐響叮噹	A Bad Moms Christmas 
走鋼索的人	The Walk
竊車犯	Stealing Cars 
第七傳人	Seventh Son
帕納大師的魔幻冒險	The Imaginarium of Doctor Parnassus
降世錄	The Nativity Story
熊麻吉2	Ted 2 
替天行盜	The Edukators
傑克與羅絲的民謠	The Ballad of Jack and Rose 
世貿中心	World Trade Center
新郎不是我	Made of Honor
黃石任務	The Children of Huang Shi 
藝妓回憶錄	Memoirs of a Geisha 
真愛戀習曲	Song One 
少女離家記	Mustang
食人煉獄	The Green Inferno
黑豹	Black Panther 
異形鬼屋	Alone in the Dark
五日戰爭	5 Days Of War 
成名終點站	Gus Van Sant's Last Days 
24小時殺到爆	24 Hours to Live
超異能冒險	Race to Witch Mountain
惡靈金庫	The Vault
辦公室大狂殺	The Belko Experiment 
永不放棄	Won't Back Down
全境擴散	Contagion
邪靈刑事錄	Regression
殭屍小屁孩	Cooties
天菜大廚	Burnt
舞力全開4	Step Up 4
凡爾賽拜金女	Marie Antoinette
愛愛上雲端	Sex Tape
面子	Saving Face
X戰警:金鋼狼	X-Men Origins: Wolverine
麥迪遜錦標賽	Madison 
麻辣賤諜	Spy
迴路殺手	Looper
波普先生的企鵝	Mr. Popper's Penguins
逆轉人生	The Intouchables
數字戰	The Numbers Station
黑魔女:沉睡魔咒	Maleficent
吸血鬼家庭詩篇	What We Do In The Shadows
法海:白蛇傳說	The Sorcerer and the White Snake
拳霸3	Ong bak 2 
拳霸終極篇	Ong-Bak 3
愛麗絲人間蒸發	The Disappearance of Alice Creed
光榮歲月	Indigènes
魔幻奇緣	Death Defying Acts 
滅絕	Annihilation
非關命運	Fateless
絕地奶霸3	Big Mommas: Like Father, Like Son
鬼屋入鏡	A Haunted House
地獄魔咒	Drag Me to Hell
暴風雪中的白鳥	White Bird in a Blizzard 
遠離塵囂	Far from the Madding Crowd
閃靈俠	The Spirit
非常衝突	Sleuth
鬼入鏡5	Paranormal Activity: The Ghost Dimension 
金牌特務2	Kingsman: The Golden Circle
無敵破壞王	Wreck-It Ralph 
我心遺忘的節奏	The Beat That My Heart Skipped
同室操戈	War Room
尋龍傳說	Pete's Dragon
蝙蝠	Thirst
血獵人	Rise: Blood Hunter
荒涼大地	The Dry Land
廢墟	The Abandoned
驚悚末日	Melancholia 
紐約哈哈哈	Frances Ha 
殺死我吧	You Kill Me
小鬼也摩登	Son of the Mask
圓夢旅程	Rudo y Cursi
亞歷珊卓	Alexandra
全民情聖	Hitch
愛情必修學	Liberal Arts
亞當	Grown Ups
神鬼尖兵2	The Boondock Saints II: All Saints Day
翁山蘇姬	The Lady
街頭日記	Freedom Writers
女獸人	The Woman
異族終結戰	Skinwalkers
寶貝老闆	The Boss Baby 
女僕	The Maid
姐姐我醉大	Walk of Shame
心魔	The Devil Inside
屬於我們的聖誕節	A Christmas Tale
納粹龐克	Green Room 
青春轉大人	Youth in Revolt
單身啪啪啪	How to Be Single 
非常上訴	Conviction
限制級戰警2	XXX: State of the Union
鬼屋泰淒厲	Ghost House
心花漾	Something New
聖誕快遞	Arthur Christmas
間諜大鄰演	Keeping Up with the Joneses
鞋貓劍客	Puss in Boots
吸血萊恩	BloodRayne
雷霆戰狗	Bolt
薰衣草夫人	Ladies in Lavender
百戰天蟲	MacGruber
盜夢偵探	Paprika
火線反擊	Safe
色遇	The Tourist
換腦行動	Criminal
諜報風雲	A Most Wanted Man 
海底世界	Deep Blue 
吾愛無悔	The Black Balloon
蝙蝠俠對超人	Batman v Superman: Dawn of Justice
窒命地	Colonia
波西傑克森:神火之賊	Percy Jackson & The Olympians: The Lightning Thief
導火線	Flash Point 
變形金剛2	Transformers: Revenge of the Fallen
我的屍控女友	Burying the Ex 
巴黎二日情	2 Days in Paris
臥虎藏龍2	Crouching Tiger, Hidden Dragon: The Green Legend
斑馬快跑	Racing Stripes
親愛媽咪	Mommy
暮光之城	Twilight
女模煞	Domino
王者之聲	The King's Speech
3D食人魚	Piranha 3-D
諜影行動	Tinker, Tailor, Soldier, Spy
長毛狗	The Shaggy Dog
野蠻大對決	Furry Vengeance
功夫鐵拳	The Man with the Iron Fists
菸草之王	Thank You for Smoking
鬪犬	Unleashed
沉默之丘2	Silent Hill: Revelation 3D 
泳往直前	Swimming Upstream 
走音天后	Florence Foster Jenkins 
網美嬉遊記	Ingrid Goes West 
亞瑟	Arthur and the Invisibles
寶貝超級壞	Nasty Baby
玩命法則	The Counselor
雲端男女	Men, Women & Children
記憶傳承人	The Giver
異旅情絲	Silk
33:重生奇蹟	The 33
美麗拳王	Beautiful Boxer 
謎樣女孩死亡事件	The Dead Girl
百萬嬌妻綁架計畫	Life of Crime 
最黑暗的時刻	Darkest Hour 
瘋狂理髮師	Sweeney Todd: The Demon Barber of Fleet Street
圖班嫁給我	Tulpan
葉問	Ip Man 
萌牛費迪南	Ferdinand
謎走愛情	The Disappearance of Eleanor Rigby
隔離島	Shutter Island
雷的五十道黑影	Fifty Shades of Black 
屍變	Evil Dead
羅馬不思議	When in Rome
超急快遞	Premium Rush
辣味雙拼	Hot Pursuit
X戰警:變蟲人	Bite
全民超人	Hancock
瑞秋要出嫁	Rachel Getting Married 
星艦戰將:火星叛徒	Starship Troopers: Traitor of Mars
監守自盜	The Lookout
我媽的希臘婚禮	My Big Fat Greek Wedding 2
讓子彈飛	Let the Bullets Fly 
鋼鐵英雄	Man of Steel
鬼訊號	White Noise 
驚聲尖笑5	Scary Movie 5
星際大戰7	Star Wars: Episode VII 
飢餓	Hunger
姊姊的守護者	My Sister's Keeper
極地追擊	Wind River
拜金女孩	Material Girls
哈啦上菜	Waiting
虐殺	Chaos 
紐澤西男孩	Jersey Boys 
備胎女王	The Back-up Plan
海底總動員3D	Finding Nemo 3D
大學生了沒	College Road Trip
火線對峙	Hostage
醉後大丈夫3	The Hangover Part III
巴黎蒙田大道	Avenue Montaigne
吉屋出租	Rent 
啦妹當家	Man of the House
與巴席爾跳華爾滋	Waltz with Bashir
樂來越愛你	La La Land
好運汪汪來	Year of the Dog
變奏曲	Brothers
靈動:鬼影實錄	Paranormal Activity
殺死達令	Kill Your Darlings
猩球崛起	Rise of the Apes
艾美懷絲	Amy
紐約唯一	The Only Living Boy in New York
天才神算	Imagine That
BJ有喜	Bridget Jone's Baby
監視	Surveillance
戀愛學分	Starter for 10
歐羅巴報告	Europa Report 
我愛斷背衫	Cut Sleeve Boys
曼哈頓	The Good Guy 
選擇	Sympathy for Lady Vengeance
拖油瓶	Cyrus
無法無天2	City of Men
惡靈戰警2	Ghost Rider: Spirit of Vengeance
3D血腥情人節	My Bloody Valentine 3-D
奇特女孩	Kit Kittredge: An American Girl
借物少女艾莉緹	The Borrowers 
寂寞公路	The End of the Tour 
尋找甜秘客	Searching For Sugar Man
法蘭克	Frank
汙點	Dirty
鬼屋電影2	A Haunted House 2
辛普森家庭電影版	The Simpsons Movie
晴空戰士	Sky Blue 
一級玩家	Ready Player One
搶救千金	Snatched
魔咒	Cursed
血鑽石	Blood Diamond
超狂亨利	Hardcore Henry 
白象:無法之城	White Elephant
美人情園	A Little Chaos
肝膽相照	The Matador
模仿遊戲	The Imitation Game 
遺落汪洋	All is Lost 
開運兔	Hop
帝國毀滅	Downfall 
神鬼認證4	The Bourne Legacy
居安思危	Take Shelter
黑心交易員的告白	Margin Call
靈犬萊西	Lassie
永夜魔女	The Lazarus Effect
霸凌女教師	Bad Teacher
雪人	The Snowman
陳真:精武風雲	Legend of the Fist: The Return of Chen Zhen
時尚大師聖羅蘭	Yves Saint Laurent
新娘向後跑	Imagine Me & You
變形金剛3	Transformers: Dark of the Moon
8面埋伏	Mindhunters
窈窕老爸	Transamerica
騷莎大塊呆	Cuban Fury
衝出康普頓	Straight Outta Compton
澳大利亞	Australia
一噤到底美國版	Silent House
糯米正傳	Norbit
切膚慾謀	The Skin I Live In
狂野三人行	Wild Side
大吉嶺特快車	The Darjeeling Limited
X戰警3	X-Men 3
超時空戰警3D	Dredd
旅行之歌	Grbavica
歿日冰封	The Last Winter
凶兆	Sinister
神通魔法石	Shorts
玩命一擲	Uncertainty
情聖終結者	Spread
雙面翻譯	The Interpreter
放牛班快樂頌	Paris 36 
凸搥特派員2	Johnny English Reborn 
木乃伊博物館	Mother of Tears 
巴黎換換愛	The Valet
命中注定遇見愛	You Will Meet a Tall Dark Stranger
偷情閣樓	The Loft
刺客教條	Assassin's Creed 
再見羅賓	Goodbye Christopher Robin
陰兒房第4章	Insidious 4: The Last Key 
聖誕狂歡夜	The Night Before 
千言萬語	A Thousand Words
森林保衛戰	Over the Hedge
分裂	Split
普羅米修斯	Prometheus
人魔	Hannibal Rising
浮華陷阱	Savage Grace
我和我的小鬼們	The Class
哈比人2	The Hobbit: The Desolation of Smaug 
寶貝媽媽	Baby Mama
大象的眼淚	Water for Elephants
蜘蛛人:新宇宙	Spider-Man: Into the Spider-Verse
八月	August: Osage County 
烈血風雲	Blood Ties
關鍵目擊	Parkland
科洛弗10號地窖	10 Cloverfield Lane
我行我愛	Somersault 
愛•穹蒼	To the Wonder
玩火的女孩	The Girl Who Played with Fire
烏賊與鯨	The Squid and the Whale
玩命關頭3	The Fast and the Furious: Tokyo Drift
即刻反擊	Haywire
姐姐妹妹殺起來	Tragedy Girls
金剛:骷髏島	Kong: Skull Island
超狗任務	Underdog
誘鯊	Bait 3D
巴霍巴利王2	Bahubali 2: The Conclusion
驚天巨浪	The Wave
瞞天大佈局	American Hustle
馴龍高手	How to Train Your Dragon
大明星世界末日	This is the End
黃沙武士	The Warrior's Way
神愛弒人	Red State
深入虎穴	Cronicas
機器人與法蘭克	Robot & Frank
殺手漢娜	Hanna
變種人	X-Men: The New Mutants
你是我的勇氣	Stronger
穿條紋衣的男孩	The Boy in the Striped Pajamas
間諜橋	Bridge of Spies 
派特森	Paterson
科學怪人	I, Frankenstein 
浴血任務	The Expendables 
噬血戀人	Only Lovers Left Alive
德古拉:永咒傳奇	Dracula Untold
謊言先師	The Invention of Lying
納尼亞傳奇2	The Chronicles of Narnia: Prince Caspian
愛情混音師	In the Mix
搖滾世代	Glastonbury
大亨偽傳	The Hoax
真愛有夠殺	Mr. Right 
13搏命遊戲	13
錯的多美麗	Clean
黑色大理花懸案	The Black Dahlia
疾風禁區2	Goal! 2: Living the Dream... 
風雲人物	Man of the Year
28週毀滅倒數	28 Weeks Later
降世神通	The Last Airbender
